Sample_Name,Species,Location,Depth_(m),d18Op_SMOW,d18Oco3_PDB,T(°C),d18Ow_SMOW,D18O,D18O_corrected
LN1,Paphia_schnelliana,"Osaka,_Jap",Unknown,22.2,0.23,15.1,-0.2,22.4,24.6
LN2,Lepas_sp,"Cal,_USA",Surface,22,0.15,16.3,-0.3,22.3,24.5
LN3,Spisula_solidissima,"44°11'N,_49°25'W",50,23.5,2.35,4.3,-1,24.5,26.7
LN4,Mytilus_californianus,"Cal,_USA",Surface,22,-0.3,16.9,-0.3,22.3,24.5
LN5,Chlamys_islandica,"45°02'N,_51°33'W",80,24.4,2.52,3.7,-1,25.4,27.6
LN6,Sepia_officinalis,Tyrr_Sea,Surface,22.6,0.18,20.4,1,21.6,23.8
LN7,Mytilus_galloprovincialis,"43°38'N,_10°17'E",3,22,0.21,20.3,1,21,23.2
LN8,Venus_gallina,"43°38'N,_10°17'E",3,21.3,-0.36,22.8,1,20.3,22.5
LN9,Haliotis_rufescens,"Cal,_USA",20,22,0.4,14,-0.3,22.3,24.5
LN10,Hinnites_giganteum,"Cal,_USA",20,22.8,0.29,14.5,-0.3,23.1,25.3
LN11,Hinnites_giganteum,"Cal,_USA",20,23,0.55,13.4,-0.3,23.3,25.5
LN12,Balanus_sp,"Cal,_USA",Surface,21.4,0.16,15,-0.3,21.7,23.9
LN13,Unio_pictorum,"Tiber_river,_Italy",-,14.7,-6.62,12.5,-7.7,22.4,24.6
LN14,Pecten_nobilis,S_Japan,Unknown,20.8,-1.4,22.1,-0.2,21,23.2
LN15,Pecten_nobilis,S_Japan,Unknown,21.5,-1.22,21.3,-0.2,21.7,23.9
LN16,Pecten_jacobaeus,"N_Adriatic,_Italy",15,24,2.4,9.4,0.5,23.5,25.7
LN17,Pecten_jacobaeus,"N_Adriatic,_Italy",15,24.3,2.26,9.9,0.5,23.8,26
LN18,Tapes_sp,"43°39'N,_10°17'E",3,22.3,-0.46,21,0.5,21.8,24
LN19,Spisula_solidissima,"44°11'N,_49°25'W",50,23.6,2.59,3.5,-1,24.6,26.8
LN20,Paphia_schnelliana,"Osaka,_Jap",Unknown,21.6,0.08,15.7,-0.2,21.8,24
LN21,Malleus_albus,Philippines,Unknown,19.4,-2.26,27,0,19.4,21.6
LN22,Conus_leopardus,Tanzania,Surface,19.6,-2.14,26.5,0,19.6,21.8
LN23,Malleus_albus,Philippines,Unknown,19.6,-2.32,27.3,0,19.6,21.8
LN24,Ostrea_edulis,"40°28'N,_17°14'E",15,21.5,0.55,23.7,1,20.5,22.7
LN25,Spisula_solidissima,"44°11'N,_49°25'W",50,23.4,2.4,4.1,-1,24.4,26.6
LN26,Spisula_solidissima,"44°11'N,_49°25'W",50,24,2.37,4.2,-1,25,27.2
LN27,Chama_sp,"Cal,_USA",35,22.6,0.68,12.9,0.3,22.3,24.5
N8D1dr1,,,,24,,8,-1.3,25.3,25.3
N8D1dr3dr8,,,,23.8,,8,-1.3,25.1,25.1
N10D1dr4dr5,,,,23.6,,10,-1.26,24.8,24.8
N10D1dr1dr2,,,,23,,10,-1.26,24.3,24.3
N10D1dr5,,,,23.7,,10,-1.26,25,25
N12D1dr5,,,,24,,12,-1.28,25.3,25.3
216D1dr1,,,,18.8,,16,-4.14,22.9,22.9
216D1dr1a,,,,19.2,,16,-4.14,23.3,23.3
216D2dr2,,,,19.8,,16,-4.14,24,24
500D1dr2,,,,20.7,,18,-2.87,23.5,23.5
500D1dr2a,,,,20,,18,-2.87,22.8,22.8
500D2dr1,,,,21.3,,18,-2.87,24.2,24.2
501D1dr1,,,,19.9,,20,-3.45,23.4,23.4
501D1dr2,,,,19.6,,20,-3.45,23,23
501D1dr5,,,,20.2,,20,-3.45,23.7,23.7
501D1dr5a,,,,19.7,,20,-3.45,23.1,23.1
501D1dr6,,,,20.2,,20,-3.45,23.7,23.7
501D1dr7,,,,19.7,,20,-3.45,23.1,23.1
501D2dr3-4,,,,20,,20,-3.45,23.5,23.5
502D1dr1,,,,18.2,,22,-4.15,22.3,22.3
502D1dr1a,,,,18.3,,22,-4.15,22.5,22.5
502D2dr1,,,,20,,22,-4.15,24.2,24.2
L24D2dr1,,,,22.8,,24,0.2,23,23
L24D2dr2dr4,,,,21.2,,24,0.2,21.4,21.4
L24D2dr5,,,,22.4,,24,0.2,22.6,22.6
L26D1dr4,,,,20.9,,26,-0.8,21.7,21.7
L26D1dr3,,,,21.2,,26,-0.8,22,22
L26D2dr3,,,,20.9,,26,-0.8,21.9,21.9
L26D2dr1-2-4,,,,21.1,,26,-0.8,21.9,21.9
L28D1dr1,,,,20.6,,28,-0.64,21.3,21.3
L28D1dr1a,,,,20.7,,28,-0.64,21.4,21.4
L28D3dr1-2-3,,,,21.9,,28,-0.64,22.6,22.6