Sample_Name,N_teeth,Aquarium_Temperature_(°C),d18Op_SMOW,Mean_d18Ow_SMOW,d18Op-d18Ow_SMOW
N8D1dr1,1,8,24,-1.3,25.3
N8D1dr3dr8,2,8,23.8,-1.3,25.1
N10D1dr4dr5,2,10,23.6,-1.26,24.8
N10D1dr1dr2,2,10,23,-1.26,24.3
N10D1dr5,1,10,23.7,-1.26,25
N12D1dr5,1,12,24,-1.28,25.3
216D1dr1,1,16,18.8,-4.14,22.9
216D1dr1a,1,16,19.2,-4.14,23.3
216D2dr2,1,16,19.8,-4.14,24
500D1dr2,1,18,20.7,-2.87,23.5
500D1dr2a,1,18,20,-2.87,22.8
500D2dr1,1,18,21.3,-2.87,24.2
501D1dr1,1,20,19.9,-3.45,23.4
501D1dr2,1,20,19.6,-3.45,23
501D1dr5,1,20,20.2,-3.45,23.7
501D1dr5a,1,20,19.7,-3.45,23.1
501D1dr6,1,20,20.2,-3.45,23.7
501D1dr7,1,20,19.7,-3.45,23.1
501D2dr3-4,3,20,20,-3.45,23.5
502D1dr1,1,22,18.2,-4.15,22.3
502D1dr1a,1,22,18.3,-4.15,22.5
502D2dr1,1,22,20,-4.15,24.2
L24D2dr1,1,24,22.8,0.2,23
L24D2dr2dr4,2,24,21.2,0.2,21.4
L24D2dr5,1,24,22.4,0.2,22.6
L26D1dr4,1,26,20.9,-0.8,21.7
L26D1dr3,1,26,21.2,-0.8,22
L26D2dr3,1,26,20.9,-0.8,21.9
L26D2dr1-2-4,3,26,21.1,-0.8,21.9
L28D1dr1,1,28,20.6,-0.64,21.3
L28D1dr1a,1,28,20.7,-0.64,21.4
L28D3dr1-2-3,3,28,21.9,-0.64,22.6