Sample_#_BFS,Genus,Location,State,d18Op_VSMOW,d18Ow_VSMOW,d18Obw_VSMOW
101, Sternotherus, Hammond, LA,18.58,-3.1,
103, Sternotherus, Hammond, LA,18.38,-3.1,
106, Pseudemys, Branford_Springs, FL,17.57,-4,
107, Pseudemys, Withlacoochee_R., FL,18.89,-3.6,
108, Pseudemys, Withlacoochee_R., Fl,18.31,-3.6,
111, Sternotherus, Santa_Fe_River, FL,17.23,-4,
112, Sternotherus, (lyr)_Santa_Fe_River, FL,19.07,-4,
118, Pseudemys, Santa_Fe_River, FL,17.78,-4,
113, Sternotherus, Ichetucknee_R., FL,18.92,-3.6,
115, Sternotherus, Ichetucknee_R., FL,18.55,-3.6,
116, Sternotherus, Ichetucknee_R., FL,18.89,-3.6,
123, Pseudemys, Peacock_Spring, FL,17.79,-3.8,
124, Pseudemys, Peacock_Spring, FL,18.03,-3.8,
125, Pseudemys, Peacock_Spring, FL,18,-3.8,
140, Chelydra, Parkersburg, WV,16.66,-6,
141, Chrysemys, Parkersburg, WV,15.49,-6,
142, Chrysemys, Parkersburg, WV,15.97,-6,
143, Sternotherus, Parkersburg, WV,18.32,-6,
150, Chrysemys, Waupaca, WI,14.71,-7,
154, Chrysemys, Mt._Vernon, IL,16.84,-5.1,
156, Chrysemys, Ladora, IA,15.92,-6.2,
157, Chrysemys, Amana, IA,15.21,-6.2, 
160, Kinosternon, Norman, OK,19.05,-5,
165, Chelydra, Norman, OK,19.44,-5, 
168, Pseudemys, Cushing, OK,18.76,-5, 
170, Chrysemys, Tongue_River_Res., WY,11.64,-11.2,
171, Chrysemys, Tongue_River_Res., WY,12.57,-11.2,
172, Chrysemys, Lee_Metcalf_Res., MT,7.03,-15,-11.2
502, Chrysemys, Lee_Metcalf_Res., MT,7.1,-15,-11.4
196, Caretta, Atlantic_Ocean, FL,22.4,0.2,
191, Trionyx, Bivens_Arm, FL,20.2,-1.4,
211, Chrysemys, Fern_Hammock, FL,17.5,-3.8,-1.2
182, Sternotherus, Ichetucknee_R., FL,17.5,-3.6,
181, Sternotherus, Fannin_Spring, FL,17.3,-4,
178, Pseudemys, Wakulla_Spring, FL,17.7,-3.8,
156, Chrysemys, Cedar_River, IA,16.4,-6.2,-2.3
158, Terrepene, Columbia, MO,20.69,-5.2,0.2
166, Terrepene, Lexington, OK,19.97,-5,-0.3
167, Terrepene, Purcell, OK,20.31,-5,0
169, Terrepene, Cushing, OK,20.98,-5,0.4
NA, Dermochelys, Pacific_Ocean, CA,21.3,-0.4,
NA, Dermochelys, Pacific_Ocean, CA,21.4,-0.4,
156f, Fish_unidentified, Cedar_River, IA,14.4,-6.2,